Sweep=01_2site; Energy=-138.323936497133; D=   9; time=0.9
Sweep=02_2site; Energy=-138.913727677145; D=  10; time=1.3
Sweep=03_2site; Energy=-138.914797795694; D=  10; time=1.2
Sweep=04_2site; Energy=-138.914801925913; D=  10; time=1.2
Sweep=05_2site; Energy=-138.940031624990; D=  32; time=1.8
Sweep=06_2site; Energy=-138.940042782527; D=  32; time=2.0
Sweep=07_2site; Energy=-138.940042838006; D=  32; time=1.9
Sweep=08_2site; Energy=-138.940042863878; D=  32; time=1.9
Sweep=09_2site; Energy=-138.940085549161; D=  64; time=2.7
Sweep=10_2site; Energy=-138.940085575514; D=  64; time=2.7
Sweep=11_2site; Energy=-138.940085575244; D=  64; time=2.5
Sweep=12_2site; Energy=-138.940085575178; D=  64; time=2.4
Sweep=13_2site; Energy=-138.940086140443; D= 128; time=4.4
Sweep=14_2site; Energy=-138.940086140647; D= 128; time=4.6
Sweep=15_2site; Energy=-138.940086140650; D= 128; time=4.1
Sweep=16_2site; Energy=-138.940086140645; D= 128; time=4.1
Sweep=17_2site; Energy=-138.940086143523; D= 256; time=9.7
Sweep=18_2site; Energy=-138.940086143517; D= 256; time=12.5
Sweep=19_2site; Energy=-138.940086143524; D= 256; time=11.9
Sweep=20_2site; Energy=-138.940086143523; D= 256; time=11.1
Sweep=21_2site; Energy=-138.940086143526; D= 384; time=17.6
Sweep=22_2site; Energy=-138.940086143531; D= 384; time=19.3
Sweep=23_2site; Energy=-138.940086143531; D= 384; time=17.6
Sweep=24_2site; Energy=-138.940086143531; D= 384; time=16.9
Sweep=25_2site; Energy=-138.940086143531; D= 512; time=27.1
Sweep=26_2site; Energy=-138.940086143531; D= 512; time=30.2
Sweep=27_2site; Energy=-138.940086143526; D= 512; time=30.3
Sweep=28_2site; Energy=-138.940086143533; D= 512; time=30.2
Sweep=29_2site; Energy=-138.940086143531; D= 768; time=50.2
Sweep=30_2site; Energy=-138.940086143532; D= 768; time=58.2
Sweep=31_2site; Energy=-138.940086143538; D= 768; time=57.2
Sweep=32_2site; Energy=-138.940086143521; D= 768; time=56.4
Sweep=33_2site; Energy=-138.940086143531; D=1024; time=85.4
Sweep=34_2site; Energy=-138.940086143533; D=1024; time=95.6
Sweep=35_2site; Energy=-138.940086143534; D=1024; time=95.5
Sweep=36_2site; Energy=-138.940086143527; D=1024; time=94.3
Sweep=37_2site; Energy=-138.940086143521; D=1536; time=174.7
Sweep=38_2site; Energy=-138.940086143530; D=1536; time=210.2
Sweep=39_2site; Energy=-138.940086143526; D=1536; time=204.0
Sweep=40_2site; Energy=-138.940086143538; D=1536; time=201.8
Sweep=41_2site; Energy=-138.940086143530; D=2048; time=354.9
Sweep=42_2site; Energy=-138.940086143535; D=2048; time=395.7
Sweep=43_2site; Energy=-138.940086143530; D=2048; time=402.9
Sweep=44_2site; Energy=-138.940086143524; D=2048; time=404.1
